cwp_1a_kw,cwp_1a_disc_p,ret_cw_flow,cwp_1b_kw,cwp_1a_dex
1086.765625,2.542649746,26913.75,1067.3125,0.626381993
1091.15625,2.596638441,27437.10938,1071.078125,0.54085499
1086.875,2.547286272,27723.04688,1070.609375,0.641376019
1087.40625,2.534303904,27867.42188,1065.484375,0.608940005
1087.765625,2.577558994,27158.90625,1071.976563,0.600831032
1085.640625,2.586359739,27391.40625,1066.328125,0.405755997
1088.1875,2.591962099,26512.96875,1070.984375,0.485315979
1087.734375,2.513502121,26603.67188,1066.28125,0.545751035
1086.96875,2.536376953,27011.95313,1072.523438,0.524598718
1088.515625,2.548729658,27084.375,1072.421875,0.422892004
1085.21875,2.539872169,27055.07813,1071.015625,0.489600003
1089.140625,2.554590702,27260.85938,1073.953125,0.522648036
1088.9375,2.552225351,27028.35938,1072.125,0.440333992
1084.578125,2.550440788,27119.0625,1068.75,0.596852958
1088.828125,2.563387871,27120.46875,1070.9375,0.336600006
1087.21875,2.538867712,26986.875,1067.71875,0.491129994
1089.828125,2.540874958,26986.40625,1070.046875,0.45629701
1086.59375,2.593033075,27538.82813,1068.546875,0.505104005
1087.796875,2.549769402,27010.78125,1070.03125,0.523464024
1087.625,2.547506094,27037.5,1073.078125,0.541926026
1087.65625,2.537445068,27020.625,1069.484375,0.450738013
1085.421875,2.584124565,27170.625,1066.640625,0.497250021
1087.71875,2.576567888,27331.40625,1074.0625,0.556430399
1086.390625,2.537653208,26951.48438,1069.640625,0.466037989
1087.09375,2.540138006,29221.64063,1068.578125,0.61322403
1085.953125,2.550043106,28094.53125,1068.21875,0.427482009
1084.3125,2.5627563,26817.42188,1067.515625,0.608429968
1087.03125,2.570266008,27810.9375,1070.6875,0.491558403
1089.515625,2.557782173,26698.59375,1071.90625,0.455940008
1087.203125,2.551183701,27336.09375,1072.3125,0.479196012
1089.515625,2.548437834,27415.78125,1070.640625,0.390302986
1087.078125,2.549576283,28842.65625,1073.28125,0.450125992
1089.265625,2.544625044,26710.54688,1074.140625,0.405144006
1092.5,2.53863287,27199.21875,1069.828125,0.375768006
1087.359375,2.559408665,27244.45313,1071.390625,0.367505997
1087.921875,2.590949297,27345.23438,1070.625,0.491818517
1089.296875,2.544137239,27224.53125,1069.9375,0.495414019
1084.921875,2.544493675,26676.32813,1067.6875,0.617201984
1086.28125,2.560994625,27066.32813,1071.03125,0.690948009
1092.273438,2.55843544,27497.34375,1068.125,0.51591599
1087.265625,2.549295902,26944.45313,1065.03125,0.391374022
1086.223999,2.549951792,27185.15625,1066.25,0.493424982
1087.578125,2.55573225,27512.10938,1074.015625,0.539018989
1089.234375,2.585508823,28481.48438,1071.484375,0.631889999
1085.742188,2.581643581,28524.60938,1067.625,0.571761012
1088.0625,2.584810972,27538.59375,1071.421875,0.419322014
1088.796875,2.583039284,27348.75,1069.90625,0.391068012
1086.421875,2.530572414,26953.82813,1072.546875,0.563957989
1089.375,2.563759089,26850.46875,1070.171875,0.448902011
1089.734375,2.595324039,27158.67188,1073.21875,0.383877009
1084.21875,2.602035284,28050,1064.6875,0.543150008
1089.109375,2.582579851,27895.54688,1070.5625,0.563651979
1090.6875,2.551109791,27633.75,1073.75,0.597770989
1088.875,2.542971849,27181.40625,1071.640625,0.464507997
1086.015625,2.565055132,27405.46875,1070.890625,0.489906013
1086.03125,2.563234329,27144.84375,1063.578125,0.435000837
