cwp_1a_kw,cwp_1a_disc_p,ret_cw_flow,cwp_1b_kw,cwp_1a_ndex
1086.68,2.54216,27678.6,1069.68,0.586964
1088.21,2.58061,27910.6,1069.37,0.574785
1088.16,2.58977,28245.4,1069.61,0.576621
1087.03,2.56591,27695,1069.87,0.608664
1086.06,2.54218,27791.5,1069.93,0.582658
1085.32,2.5389,27623.9,1069.8,0.611979
1087.71,2.54511,27408.9,1071.49,0.584082
1088.76,2.58326,27878.2,1070.15,0.581901
1087.03,2.5895,27892.8,1067.02,0.523017
1086.77,2.56508,27768.8,1066.97,0.523242
1085.42,2.51883,27568,1068.08,0.532227
1085.83,2.52264,27928.1,1070.19,0.618115
1085.54,2.53903,28775.7,1070.38,0.599193
1085.68,2.54296,28271.5,1070.31,0.605971
1086.93,2.54363,28032.4,1070.22,0.597347
1086,2.54019,27640,1069.87,0.610037
1087.75,2.54541,27224.1,1070.8,0.605554
1087.19,2.54799,27262.3,1069.46,0.601718
1087.43,2.54893,27490.5,1070.22,0.578783
1088.73,2.55126,27376.5,1070.36,0.583592
1088.81,2.55268,27111.3,1070.78,0.564112
1087.36,2.54972,27112.9,1069.97,0.566283
1087.47,2.59117,27527.1,1069.82,0.560904
1087.94,2.59008,27551.5,1068.91,0.497374
1086.17,2.55167,27304.5,1067.25,0.543373
1086.58,2.55067,27181,1067.51,0.552219
1087.99,2.54371,27215.4,1070.52,0.574299
1087.2,2.58622,27635,1070.57,0.571051
1085.86,2.5827,27395.6,1068.9,0.604431
1087.9,2.58434,28733.5,1070.49,0.606869
1085.97,2.54056,28571.2,1067.6,0.559128
1086.51,2.54211,27965.6,1068.79,0.575122
1085.81,2.54303,28320.1,1069.05,0.554611
1085.41,2.54094,27808.7,1068.26,0.557763
1086.42,2.55487,27752.4,1069.9,0.604999
1086.01,2.56676,27922.5,1068.36,0.595918
1087.13,2.56686,27768.1,1069.61,0.528868
1087.27,2.55827,27669.4,1069.25,0.543463
1086.8,2.55422,27806.8,1068.98,0.553981
1087.38,2.55056,27298.4,1070.22,0.56148
1086.91,2.54865,27097.4,1070.48,0.596032
1088.37,2.54917,27111.3,1071.33,0.57331
1086.83,2.54724,27157.8,1070.53,0.567688
1087.83,2.53456,27048.8,1071.36,0.555416
1087.04,2.53399,27009.1,1070.17,0.572907
1087.89,2.58045,27426.7,1070.89,0.564493
1087.85,2.58905,27529,1069.74,0.555547
1088.09,2.56591,27383.6,1068.56,0.558579
1086.44,2.54158,27115.1,1067.93,0.543254
1085.43,2.5375,27129.1,1068.36,0.548069
1086.52,2.5377,27139.8,1070.24,0.55993
1087,2.58368,27432.2,1069.35,0.58954
1086.8,2.5714,27508.5,1067.11,0.520885
1086.8,2.55504,27741.5,1067.36,0.540007
1085.79,2.54524,27966.9,1067.75,0.519681
1086.46,2.54429,27745.3,1069.72,0.547108
