CW PUMP 1A WATT METER,CW PUMP 1A DISCH PRESS,RETURN CW FLOW,CW PUMP 1B WATT METER,CWP-1A MOTOR NDE-BRG VIB Y-AXIS
1086.68,2.54216,27678.6,1069.68,0.550447
1088.21,2.58061,27910.6,1069.37,0.534891
1088.16,2.58977,28245.4,1069.61,0.567911
1087.03,2.56591,27695,1069.87,0.553124
1086.06,2.54218,27791.5,1069.93,0.560138
1085.32,2.5389,27623.9,1069.8,0.529486
1087.71,2.54511,27408.9,1071.49,0.541097
1088.76,2.58326,27878.2,1070.15,0.548453
1087.03,2.5895,27892.8,1067.02,0.491859
1086.77,2.56508,27768.8,1066.97,0.487619
1085.42,2.51883,27568,1068.08,0.522849
1085.83,2.52264,27928.1,1070.19,0.578804
1085.54,2.53903,28775.7,1070.38,0.560306
1085.68,2.54296,28271.5,1070.31,0.583105
1086.93,2.54363,28032.4,1070.22,0.562685
1086,2.54019,27640,1069.87,0.550293
1087.75,2.54541,27224.1,1070.8,0.572524
1087.19,2.54799,27262.3,1069.46,0.549834
1087.43,2.54893,27490.5,1070.22,0.532995
1088.73,2.55126,27376.5,1070.36,0.549506
1088.81,2.55268,27111.3,1070.78,0.51626
1087.36,2.54972,27112.9,1069.97,0.555217
1087.47,2.59117,27527.1,1069.82,0.542296
1087.94,2.59008,27551.5,1068.91,0.486982
1086.17,2.55167,27304.5,1067.25,0.510104
1086.58,2.55067,27181,1067.51,0.527339
1087.99,2.54371,27215.4,1070.52,0.527685
1087.2,2.58622,27635,1070.57,0.530399
1085.86,2.5827,27395.6,1068.9,0.57061
1087.9,2.58434,28733.5,1070.49,0.568962
1085.97,2.54056,28571.2,1067.6,0.534383
1086.51,2.54211,27965.6,1068.79,0.558889
1085.81,2.54303,28320.1,1069.05,0.53747
1085.41,2.54094,27808.7,1068.26,0.557491
1086.42,2.55487,27752.4,1069.9,0.546462
1086.01,2.56676,27922.5,1068.36,0.568819
1087.13,2.56686,27768.1,1069.61,0.538366
1087.27,2.55827,27669.4,1069.25,0.535555
1086.8,2.55422,27806.8,1068.98,0.552424
1087.38,2.55056,27298.4,1070.22,0.547158
1086.91,2.54865,27097.4,1070.48,0.539293
1088.37,2.54917,27111.3,1071.33,0.550085
1086.83,2.54724,27157.8,1070.53,0.54391
1087.83,2.53456,27048.8,1071.36,0.545051
1087.04,2.53399,27009.1,1070.17,0.548849
1087.89,2.58045,27426.7,1070.89,0.530368
1087.85,2.58905,27529,1069.74,0.521558
1088.09,2.56591,27383.6,1068.56,0.509532
1086.44,2.54158,27115.1,1067.93,0.527529
1085.43,2.5375,27129.1,1068.36,0.537643
1086.52,2.5377,27139.8,1070.24,0.535749
1087,2.58368,27432.2,1069.35,0.520174
1086.8,2.5714,27508.5,1067.11,0.49904
1086.8,2.55504,27741.5,1067.36,0.501443
1085.79,2.54524,27966.9,1067.75,0.49865
1086.46,2.54429,27745.3,1069.72,0.548588
1085.94,2.55655,27859.6,1068.4,0.543336
1085.65,2.5571,28297.7,1067.2,0.55005
1086.35,2.56582,28159.6,1066.94,0.518213
1086.31,2.54353,27512.3,1067.8,0.518863
1086.8,2.55169,27452.8,1070.25,0.559208
1087.26,2.59132,27979.7,1069.92,0.539709
1087.48,2.58631,27888.2,1070.05,0.568318
1087.4,2.58225,27487.1,1070.44,0.574642
1088.33,2.58391,27550.3,1070.64,0.550435
1087.93,2.58106,27530.6,1070.66,0.549821
1087.77,2.57683,27409.2,1070.51,0.560788
1085.96,2.52985,27133.7,1069.62,0.542574
1086.64,2.53185,27088.6,1070.48,0.530664
1087.73,2.58132,27440.4,1069.88,0.535023
1087.63,2.59624,27561.7,1069.09,0.524417
1087.45,2.59506,27524.6,1067.76,0.495379
1086.75,2.56026,27358,1068.6,0.508619
1086.07,2.54522,27263.2,1069.94,0.552343
1087.13,2.54545,27307.1,1071,0.551606
1087.75,2.58427,27754.7,1069.96,0.542198
1085.81,2.56682,27382.1,1066.35,0.486136
1085.89,2.543,27722.2,1066.61,0.486017
1086.71,2.5418,27370.7,1068.17,0.551458
1087.73,2.55067,27804.1,1069.38,0.539245
1086.67,2.55392,27752.1,1068.6,0.545177
